ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
211,Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100,"Biryani,Chinese,North Indian,South Indian",5Th Block,59.0
221,Koramangala,Bangalore,Tunday Kababi,300.0,4.1,100,"Mughlai,Lucknowi",5Th Block,56.0
246,Jogupalya,Bangalore,Kim Lee,650.0,4.4,100,Chinese,Double Road,50.0
248,Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.9,500,"North Indian,Punjabi,Tandoor,Chinese",80 Feet Road,57.0
249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",80 Feet Road,63.0
254,Indiranagar,Bangalore,Treat,800.0,4.5,100,"Mughlai,North Indian",100 Feet Road,56.0
258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000.0,4.5,500,"Mexican,Beverages,Salads",Double Road,53.0
263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,,4.3,100,"Desserts,British,Bakery,Pizzas,Snacks",4Th Block,57.0
267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",Double Road,57.0
308,Koramangala,Bangalore,Bangaliana,,4.0,500,Bengali,7Th Block,57.0
435,Koramangala,Bangalore,Bamey'S Restro Cafe,400.0,,100,"Chinese,Thai,Nepalese",5Th Block,56.0
446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250.0,4.3,500,"North Indian,Chinese",Cooke Town,55.0
453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532.0,4.2,100,"Mughlai,North Indian,Biryani",Mm Road,54.0
464,Sivanchetti Gardens,Bangalore,Urban Solace,500.0,2.9,80,"American,Continental",Ulsoor Lake,48.0
504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150.0,4.3,100,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",Domlur Layout,59.0
604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,290.0,4.3,100,"Mughlai,North Indian",7Th Block,52.0
608,Domlur,Bangalore,Kerala Pavilion,300.0,4.1,100,"Kerala,Seafood",Domlur Layout,55.0
621,Indiranagar,Bangalore,Kitchen Of Joy,250.0,4.4,100,"Bengali,Fast Food,Chinese",Domlur,55.0
1050,Jayanagar,Bangalore,Nagarjuna Chimney,800.0,4.2,1000,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",3Rd Block,48.0
1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800.0,2.9,80,,Near Apollo Health City Gate,90.0
1304,Indiranagar,Bangalore,Esplanade,1200.0,4.3,100,$$$,I Indirangar,54.0
1457,Banashankari,Bangalore,Hotel New Karavali,250.0,3.8,100,"North Indian,Chinese,South Indian",Bsk 1St Stage,
1547,Masab Tank,Hyderabad,Dine Hill,,4.1,500,"Arabian,Biryani,North Indian,Chinese",Ahmed Nagar,
1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400.0,4.1,5000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Road 11,56.0
1593,Banjara Hills,Hyderabad,Sarvi Bakery,250.0,4.1,100,"Desserts,Fast Food,Bakery",Opposite Care Hospital Road 11 Banjara Hills,58.0
1609,Andheri East,Mumbai,Kung Fu Panda,600.0,4.3,100,Chinese  Thai  Asian,Marol,58.0
1617,Powai,Mumbai,Kosho,,4.2,100,"Mughlai,North Indian,Chinese,Seafood,Italian",Chandivali,56.0
1844,Punjagutta,Hyderabad,Chinese Pavilion,850.0,,500,"Chinese,Seafood",Nagarjuna Circle,64.0
1848,Banjara Hills,Hyderabad,Chef Inam'S Steak House,1200.0,4.2,100,,Sri Ram Nagar Colony Banjara Hills,69.0
1874,Indiranagar,Delhii,Mamagoto,,,100,"Chinese,Asian,Pan-Asian,Thai,Oriental",Mamagoto,59.0
1884,Powai,Mumbai,Hakka Express,300.0,4.0,100,"Chinese,Asian,Thai",Narayan Plaza,48.0
2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200.0,,500,"British,Italian,Indian,Chinese,South Indian,North Indian,Desserts",1St Stage,
2042,Aundh,Pune,Juice Destination,200.0,4.2,500,"Thalis,North Indian,Punjabi,Beverages",Iti Road Aundh,
2047,Aundh,Pune,Hyderabadi Spice,400.0,4.2,1000,"Biryani,Mughlai,North Indian,Chinese",Parihar Chowk,58.0
2102,Aundh,Pune,Cafe Peterdonuts,400.0,,50,"Continental,Desserts",Gaikwad Nagar,71.0
2250,Baner,Pune,Karolbaug,750.0,4.1,50,"Mughlai,North Indian,Chinese,Biryani",Sakal Nagar,
2312,Powai Area,Mumbai,The Punjabi'S Kitchen,500.0,4.4,500,North Indian,Guru Hargobindji Marg  Andheri East,65.0
2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,500.0,4.1,100,North Indian  South Indian,S P Road,66.0
2348,Kalasiguda,Hyderabad,Bluefox,800.0,4.2,1000,Biryani  North Indian  Chinese  Tandoor,Sd Road,68.0
2516,Aundh,Pune,Taaareef,1100.0,2.4012068488184877,100,"Mughlai,North Indian,Seafood,Biryani",Iti Road,67.0
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300.0,,1000,North Indian  Chinese  Desserts  Continental  South Indian,Sd Road,57.0
2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600.0,4.2,500,"Ice Cream,Beverages,Desserts,Chaat,Italian",New Mla Quarters,37.0
2777,Adarsh Nagar,Hyderabad,Ohri'S Ming'S Court,500.0,4.0,1000,Chinese,New Mla Quarters,
2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,500.0,4.3,1000,"South Indian,North Indian,Chinese",Himayath Nagar Road,30.0
2796,Himayatnagar,Hyderabad,Bluefox,800.0,4.1,1000,"Biryani,North Indian,Chinese,Tandoor",Himayath Nagar Road,36.0
2811,Ashok Nagar,Bangalore,Art Of Delight,250.0,4.6,100,"Ice Cream,Desserts,Beverages",Residency Road,34.0
2820,Commercial Street,Bangalore,Khan Saheb Grills And Rolls,300.0,4.3,50,"Tandoor,Mughlai,North Indian,Kebabs",Kamaraj Road,39.0
2824,Richmond Town,Bangalore,Fanoos,300.0,4.2,500,"Biryani,Tandoor,Kebabs,Barbecue,Fast Food",Hosur Road,33.0
2827,Richmond Town,Bangalore,In Wok,,,100,Chinese,Richmond,44.0
2832,Ashok Nagar,Bangalore,Lakeview Milkbar,450.0,4.1,100,"Desserts,Ice Cream,Bakery,Fast Food",Mg Road,31.0
2839,Ashok Nagar,Bangalore,C Sharp Kitchen,300.0,2.9,80,"Chinese,Continental,Fast Food",Church Street,33.0
2840,Ashok Nagar,Bangalore,Roomali,1000.0,4.4,100,"North Indian,Indian",Church Street,35.0
2843,Ashok Nagar,Bangalore,Tadka Singh,300.0,4.2,100,"Punjabi,North Indian",Church Street,38.0
2914,Ashok Nagar,Bangalore,Bheemas,550.0,4.3,100,,Church Street,31.0
2915,Vasanth Nagar,Bangalore,Watson'S,450.0,2.9,80,Fast Food,1St Main Road,53.0
2964,Andheri East,Mumbai,Sai Leela,500.0,4.2,20,"Mughlai,North Indian,Chinese,Seafood",Andheri East,63.0
3007,Bhowanipore,Kolkata,Tandoori Darbar,500.0,4.4,100,"North Indian,Chinese,Tandoor,Biryani,Beverages,Desserts",Hazra Road,71.0
3010,Ballygunge,Kolkata,Ballygunge Dhaba,500.0,9.32560400886296,500,"North Indian,Biryani,Chinese",Ballygunge,
3018,Gariahat,Kolkata,Tero Parbon,500.0,4.3,100,Bengali,Purna Das Road Hindustan Park,72.0
3020,Ballygunge,Kolkata,Wise Owl The Coffee Shop,,4.3,100,"Continental,American,Cafe",Purnadas Road,76.0
3022,Gariahat,Kolkata,Aminia Restaurant- Golpark,500.0,4.3,1000,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",Ballygunge Gardens,67.0
3025,Gariahat,Kolkata,Bedouin - Sher E Bengal,500.0,2.9,80,"North Indian,Chinese,Bengali",Gariahat Road Gariahat,70.0
3031,Ballygunge,Kolkata,Sharma Dhaba,300.0,,1000,North Indian  Fast Food  Tandoor  Biryani  Kebabs  Snacks  Chinese,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,54.0
3063,Indiranagar,Bangalore,Kund Indian Barbeque,200.0,4.2,100,"Mughlai,North Indian,Biryani,Kebabs,Desserts",1St Stage,58.0
3071,Bhowanipore,Kolkata,Jai Hind Dhaba,500.0,4.3,1000,,Sarat Bose Road Paddapukur,60.0
3074,Kalighat,Kolkata,Tamarind,1100.0,4.4,100,"North Indian,South Indian",Sarat Bose Road Desapriya Park,
3207,Pulikeshi Nagar,Bangalore,Pathaan Sir,300.0,4.2,100,Fast Food,Coles Road,
3265,Indiranagar,Bangalore,Chaipatty,200.0,3.9,50,,Hanumanthanagar,56.0
3279,Powai Area,Mumbai,5 Spice,1100.0,4.2,500,"Chinese,Desserts",Powai Area,53.0
3324,Punjagutta,Hyderabad,Srikanya,250.0,4.1,1000,"Andhra,Seafood",Punjagutta Road,56.0
3326,Sion,Mumbai,Cafe Vrindavan,500.0,,100,"North Indian,Chinese,South Indian",Sion Station,42.0
3329,Mumbai,Mumbai,Ramdeo,450.0,4.0,500,"North Indian,Chinese,South Indian,Fast Food",Sion Station,44.0
3331,Mumbai,Mumbai,Shabari,400.0,3.9,100,"North Indian,South Indian,Fast Food",Sion West,48.0
3332,Rajajinagar,Bangalore,The Purple Pan,400.0,4.1,1000,"Mughlai,North Indian,Chinese,Arabian",Dr. Rajkumar Road,56.0
3350,Pulikeshi Nagar,Bangalore,Moriz Nano,500.0,2.9,80,"North Indian,Chinese,Biryani,Seafood",Lakeview,50.0
3369,Ashok Nagar,Bangalore,Truffles,450.0,4.5,1000,"American,Desserts,Continental,Italian",St. Marks Road,
